prefecture,site,site_url,intro
北海道,サツッター,http://satsutter.com/,札幌市民が現地のリアルな情報をお届けします
北海道,IN & OUT ハコダテとヒト,http://www.inandout-hakodate.com/,人々のリアルな声から街の姿を掘り起こす」をテーマに配信中
北海道,クスろ港,http://kusuro.com/,くしろにもっとユーモアを！
北海道,くしろはてな,http://kushirohatena.com/,くしろの世界に負けない魅力をお伝えします
北海道,トカアーズ,https://tokacheers.com/,北海道・十勝が気になる人、暮らす人、みんなを応援するサイト
北海道,十勝Z団,http://www.tokachi-zaidan.jp/tz_detail.php?id=11,ビジネスの地平を切り開くフロンティア開拓団
北海道,夕張新聞,https://yubari-news.jp/,夕張に住む人々の日常をお届けします
北海道,JP01,https://jp01.jp/,日本地域情報コンテンツ大賞受賞！
北海道,キタゴエ,https://kitagoe.jp/,北海道のIT業界を紹介します
北海道,トカニッチ,https://tknc.jp/index.php,知る人ぞ知るニッチな情報をお届け
北海道,asatan,https://asatan.com/,旭川のお得な情報を紹介
青森県,青森日和,https://aomoribiyori.com/,このサイトを見れば青森にいきたくなる！
青森県,TOHOKU360,https://tohoku360.com/,東北の今をお伝えします
青森県,HIROMAGA,https://www.hiromaga.com/,弘前大学の魅力をお伝えします
青森県,まるごと青森,https://www.marugotoaomori.jp/,青森県の魅力をまるごとお伝えします
岩手県,奥州ライフ,http://oshulife.com/,みんなで楽しい街にしよう！
岩手県,はちまんたい通信,https://www.8mt-2shin.com/,岩手県八幡平市 移住・定住情報サイト
岩手県,まきまき花巻,http://makimaki-hanamaki.com/,市民ライターが花巻市の魅力を発信！
岩手県,盛岡さんぽ,http://moriokasanpo.net/,盛岡の食べる、歩く、集めるをお伝えします
岩手県,YOiWA,https://yoiwa.net/,岩手のお酒を楽しむサイト
宮城県,イートマップ仙台,https://eatmap-sendai.com/,仙台の「食」ならこのサイト！
宮城県,KURASHITO,https://kurashito.co.jp/,仙台の物件探しサイト
宮城県,暮らす仙台,https://www.siip.city.sendai.jp/kurasusendai/#1,仙台の素敵な雑貨・食品を紹介
宮城県,SENDAI INC.,https://sendai-inc.com/,仙台のIT就職に関する情報を発信中
宮城県,仙台つーしん,https://sendai-tushin.jp/,仙台の情報を毎日発信中！
宮城県,仙台プレス,http://sendaipress.com/,地元住民にしかわからない、仙台の魅力をお届けします
宮城県,SENDAIマチプラ,http://matipura.com/,宮城仙台がもっと好きになる散策マガジン
秋田県,あきたナビ,https://akita-navi.net/,秋田のイベントやグルメ情報、体験したことを発信中
秋田県,あきたライフろぐ,https://kitaakita-life.com/,秋田県北部の暮らしを発信中
秋田県,WE LOVE AKITA MAGAZINE,http://we-love-akita.com/magazine/,あきたの情報を東京から発信するWEBメディア
秋田県,UGONEWS,https://ugonews.jp/,まちの「いいね！」がみつかる住民参加型ニュースサイト
秋田県,CLOCKNOTE,https://clocknote.jp/,これからの秋田を旅するブログメディア
山形県,おきたま新聞,kitamaok.com,山形置賜の粋な情報を発信するWEBマガジン
山形県,家族４人、山形暮らしはじめました。,https://www.itohidekazu.com/,
山形県,CLIP山形,https://yamagata-clip.com/,山形の美しい自然をお届け
山形県,FLOAT SHONAI,https://float-shonai.com/,庄内を思いっきり楽しむWebメディア
山形県,Bonjour SHONAI,https://bonjourshonai.work/,ブログで旅する庄内エリア
